pathway	pval	padj	log2err	ES	NES	size	leadingEdge	group
BIOCARTA_ACE2_PATHWAY	0.7200704225352113	0.9276810123009489	0.05490737032909582	0.4235893997761881	0.8014099783644959	3	1282,1284	Other
BIOCARTA_ACH_PATHWAY	0.48582230623818523	0.911687698800995	0.07767985601172364	0.6169322728123583	1.0121714638242723	2	4593,7533	Other
BIOCARTA_AGR_PATHWAY	0.15422077922077923	0.7403142044595876	0.14122511964253093	0.5572318958903489	1.3311308037551965	6	1134,4593	Other
BIOCARTA_AKAP13_PATHWAY	0.9214145383104125	0.9807536345776031	0.04860342472590687	-0.5548387096774193	-0.734416359444324	1	387	Other
BIOCARTA_AKAP95_PATHWAY	0.9744597249508841	0.9897089038527872	0.04604576830180555	-0.5240694789081886	-0.6936884396898088	1	1655	Other
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.9214145383104125	0.9807536345776031	0.04860342472590687	-0.5548387096774193	-0.734416359444324	1	387	Other
BIOCARTA_AKT_PATHWAY	0.27880184331797236	0.8450637132309158	0.12325722638133735	-0.5849673672850608	-1.157559124495312	3	4303,2690	Other
BIOCARTA_ALK_PATHWAY	0.3167202572347267	0.866682333151932	0.09225972605273541	0.45170163510795797	1.1400221212342105	7	7042,9241,7040,7048,7043	Other
BIOCARTA_AMAN_PATHWAY	0.3300589390962672	0.8788551954813669	0.10171390228231093	-0.8258064516129032	-1.0930848140566682	1	4122	Other
BIOCARTA_AMI_PATHWAY	0.696917808219178	0.9243828090285362	0.05513517633852569	0.4016082121512116	0.8332191871299394	4	1282,1284,2149	Other
BIOCARTA_ARAP_PATHWAY	0.7200956937799043	0.9276810123009489	0.06961334388509648	-0.3503976143141153	-0.7838475299385841	4	2822,26286,8853,50807	Other
BIOCARTA_ARENRF2_PATHWAY	0.28166351606805295	0.8450637132309158	0.10925003948071095	0.7065541211519364	1.1592097716290872	2	23764,3162	Other
BIOCARTA_ARF_PATHWAY	0.49295774647887325	0.9143586340398856	0.07325586558284547	0.5235966219572776	0.9906186455473561	3	4609,4193,7157	Other
BIOCARTA_ASBCELL_PATHWAY	0.11531190926275993	0.7202934050427329	0.1797823162983236	0.8013902681231381	1.3148029314190774	2	940,920	Other
BIOCARTA_AT1R_PATHWAY	0.5708245243128964	0.918444829649174	0.07511816352763015	-0.5292949354518371	-0.9115596372594489	2	5595,6464	Other
BIOCARTA_ATM_PATHWAY	0.30282861896838603	0.8609262340543539	0.09688777032754396	0.5241173545499751	1.1648485945998923	5	1647,1026,5932,4193,7157	Other
BIOCARTA_ATRBRCA_PATHWAY	0.6883802816901409	0.9243828090285362	0.05700595265823873	0.43914555389965226	0.8308414446526214	3	675,7157,545	Other
BIOCARTA_BAD_PATHWAY	0.6541095890410958	0.9243828090285362	0.05809835768732064	0.42120991685451536	0.8738869722127266	4	3479,3563,7533,5595	Other
BIOCARTA_BARRESTIN_PATHWAY	0.9187145557655955	0.9807536345776031	0.04697587278218445	0.381628759519711	0.6261201710191506	2	1759	Other
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.6691871455576559	0.9243828090285362	0.06170540536375225	0.5325784516006038	0.873776157795208	2	1759,5595	Other
BIOCARTA_BARR_MAPK_PATHWAY	0.6691871455576559	0.9243828090285362	0.06170540536375225	0.5325784516006038	0.873776157795208	2	1759,5595	Other
BIOCARTA_BBCELL_PATHWAY	0.11531190926275993	0.7202934050427329	0.1797823162983236	0.8013902681231381	1.3148029314190774	2	940,920	Other
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.833648393194707	0.9497143293248655	0.0514264916187015	0.45680238331678247	0.749453963386339	2	836,3688	Other
BIOCARTA_BCR_PATHWAY	0.6605657237936772	0.9243828090285362	0.05629407497009682	0.3799104922923918	0.8443494556682332	5	4773,695,974,6464,5595	Other
BIOCARTA_BIOPEPTIDES_PATHWAY	0.5708245243128964	0.918444829649174	0.07511816352763015	-0.5292949354518371	-0.9115596372594489	2	5595,6464	Other
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.20892494929006086	0.7915758351953786	0.13500203382863138	0.9002481389578164	1.184231791445021	1	3383	Other
BIOCARTA_BOTULIN_PATHWAY	0.03690056794611819	0.4813353495324535	0.3217759180753611	0.9841191066997519	1.2945598910890168	1	1134	Other
BIOCARTA_BTG2_PATHWAY	0.9675456389452333	0.9856963802577587	0.047829963311422925	0.523076923076923	0.6880817575430275	1	7157	Other
BIOCARTA_CACAM_PATHWAY	0.7145557655954632	0.9276810123009489	0.05859375689456714	0.5148957298907646	0.8447649565561234	2	84254,10645	Other
BIOCARTA_CALCINEURIN_PATHWAY	0.1285444234404537	0.7365459973875723	0.16957064440562838	0.7899702085402185	1.2960665823344188	2	1026,4773	Other
BIOCARTA_CARDIACEGF_PATHWAY	0.08450704225352113	0.6281375403257534	0.20429475651688608	0.7360446645632629	1.3925597265054759	3	8038,4609	Other
BIOCARTA_CARM1_PATHWAY	0.5147347740667977	0.9143586340398856	0.07667468724900914	-0.7627791563275435	-1.0096582687530644	1	6256	Other
BIOCARTA_CASPASE_PATHWAY	0.3988657844990548	0.8853245973668876	0.08835944425009051	0.6573982125124131	1.0785620081777314	2	836,4000	Other
BIOCARTA_CB1R_PATHWAY	0.2632612966601179	0.8399739933004481	0.11623414877971643	-0.858560794044665	-1.1364403415372815	1	2166	Other
BIOCARTA_CCR3_PATHWAY	0.35023041474654376	0.8853245973668876	0.10797236031734525	-0.5553899652260308	-1.0990300619405928	3	4660,5595,387	Other
BIOCARTA_CCR5_PATHWAY	0.006195859832906286	0.16564006825212582	0.40701791892395395	0.9404170804369414	1.542897615927963	2	6351,6347	Other
BIOCARTA_CDC25_PATHWAY	0.522887323943662	0.9160913902039494	0.07028128417173922	0.5072031793343268	0.9596030712560253	3	994,7465,7533	Other
BIOCARTA_CDC42RAC_PATHWAY	0.9214145383104125	0.9807536345776031	0.04860342472590687	-0.5548387096774193	-0.734416359444324	1	387	Other
BIOCARTA_CDK5_PATHWAY	0.7662082514734774	0.9276810123009489	0.05712585100181134	-0.6208436724565757	-0.8217843163370746	1	5595	Other
BIOCARTA_CDMAC_PATHWAY	0.6257088846880907	0.9235199990667361	0.06494076846128988	0.5578632976354098	0.915259803166772	2	4609,5595	Other
BIOCARTA_CELL2CELL_PATHWAY	0.8519269776876268	0.9537319286108301	0.053676960063812645	0.5796526054590571	0.7625042626283266	1	5175	Other
